number of training samples = 28251
number of testing samples  = 3139
model layer: [2022, 1200, 560, 480, 320, 240, 120, 1]
activation: relu
epoch train_loss test_loss lr time(s)
0 9.5648e+04 9.2480e+04 1.000e-04 23.536
1 9.6919e+04 3.8205e+04 1.000e-04 24.777
2 2.2141e+04 9.7361e+03 1.000e-04 25.006
3 1.1083e+04 9.2761e+03 1.000e-04 25.198
4 9.4681e+03 1.0032e+04 1.000e-04 26.125
5 8.9096e+03 8.5997e+03 1.000e-04 29.048
6 8.6627e+03 8.1078e+03 1.000e-04 25.438
7 8.0471e+03 7.9432e+03 1.000e-04 24.118
8 1.0514e+04 8.0274e+03 1.000e-04 24.095
9 2.6299e+04 2.7640e+04 1.000e-04 24.259
10 1.2388e+04 9.1843e+03 1.000e-04 23.415
11 7.6201e+03 7.7720e+03 1.000e-04 23.594
12 7.3209e+03 9.0981e+03 1.000e-04 24.466
13 9.0823e+03 7.0658e+03 1.000e-04 24.005
14 7.0757e+03 7.1892e+03 1.000e-04 24.102
15 8.1127e+03 7.8253e+03 1.000e-04 24.079
16 7.8992e+03 6.9173e+03 1.000e-04 23.737
17 7.5831e+03 8.1645e+03 1.000e-04 23.781
18 7.2634e+03 6.7297e+03 1.000e-04 23.270
19 9.7503e+03 1.8621e+04 1.000e-04 23.607
20 7.7153e+03 7.3509e+03 9.000e-05 23.374
21 7.9345e+03 8.5163e+03 9.000e-05 24.956
22 7.4082e+03 6.5204e+03 9.000e-05 24.414
23 6.4033e+03 6.6148e+03 9.000e-05 23.894
24 8.2847e+03 6.8656e+03 9.000e-05 25.042
25 6.5861e+03 6.4825e+03 9.000e-05 24.823
26 6.5054e+03 6.4278e+03 9.000e-05 24.706
27 9.5400e+03 6.6901e+03 9.000e-05 23.478
28 6.4040e+03 6.9138e+03 9.000e-05 23.075
29 6.5363e+03 6.4757e+03 9.000e-05 22.638
30 6.3051e+03 6.0878e+03 9.000e-05 23.931
31 6.2542e+03 6.0907e+03 9.000e-05 23.624
32 7.2044e+03 6.6745e+03 9.000e-05 23.490
33 6.3263e+03 8.1122e+03 9.000e-05 24.228
34 7.4137e+03 6.3018e+03 9.000e-05 24.038
35 6.1083e+03 6.7446e+03 9.000e-05 24.808
36 6.5070e+03 6.7457e+03 9.000e-05 24.709
37 6.0092e+03 6.2274e+03 9.000e-05 23.975
38 6.4509e+03 5.9463e+03 9.000e-05 23.956
39 1.0262e+04 6.0176e+03 9.000e-05 23.408
40 5.8607e+03 5.8854e+03 8.100e-05 23.470
41 6.2891e+03 6.6050e+03 8.100e-05 23.854
42 7.2048e+03 9.6056e+03 8.100e-05 24.643
43 7.6943e+03 6.1026e+03 8.100e-05 24.811
44 5.8806e+03 5.8570e+03 8.100e-05 23.215
45 6.0453e+03 6.1485e+03 8.100e-05 24.564
46 5.8789e+03 5.7410e+03 8.100e-05 24.471
47 6.5269e+03 7.0898e+03 8.100e-05 25.402
48 6.9239e+03 6.1003e+03 8.100e-05 24.304
49 5.6343e+03 9.5052e+03 8.100e-05 24.913
50 6.1243e+03 5.7555e+03 8.100e-05 24.676
51 6.3434e+03 6.2283e+03 8.100e-05 23.934
52 6.8898e+03 5.9274e+03 8.100e-05 23.666
53 5.5077e+03 1.0938e+04 8.100e-05 24.360
54 8.0909e+03 6.7172e+03 8.100e-05 23.876
55 5.9697e+03 7.1925e+03 8.100e-05 23.631
56 5.5099e+03 5.6840e+03 8.100e-05 23.499
57 5.9756e+03 6.3597e+03 8.100e-05 23.632
58 9.1265e+03 6.6580e+03 8.100e-05 23.568
59 8.1207e+03 6.8169e+03 8.100e-05 25.266
60 6.1393e+03 6.4928e+03 7.290e-05 23.249
61 5.9697e+03 6.0959e+03 7.290e-05 23.320
62 5.8450e+03 6.1295e+03 7.290e-05 23.821
63 5.8746e+03 6.7996e+03 7.290e-05 26.903
64 6.0159e+03 1.0560e+04 7.290e-05 23.826
65 6.0313e+03 8.1797e+03 7.290e-05 24.854
66 5.4776e+03 5.8572e+03 7.290e-05 24.238
67 5.4361e+03 5.7928e+03 7.290e-05 25.728
68 6.2123e+03 6.2816e+03 7.290e-05 24.977
69 5.3540e+03 5.7139e+03 7.290e-05 24.294
70 5.6503e+03 6.7761e+03 7.290e-05 24.552
71 5.8487e+03 5.8854e+03 7.290e-05 24.594
72 5.2640e+03 5.5732e+03 7.290e-05 23.880
73 6.7173e+03 6.7091e+03 7.290e-05 24.654
74 7.1984e+03 6.2343e+03 7.290e-05 23.675
75 5.3843e+03 6.2062e+03 7.290e-05 23.348
76 5.4206e+03 6.7364e+03 7.290e-05 23.684
77 5.2039e+03 5.5800e+03 7.290e-05 23.611
78 5.2730e+03 5.5012e+03 7.290e-05 23.933
79 5.1434e+03 5.7148e+03 7.290e-05 25.508
80 6.1170e+03 5.5196e+03 6.561e-05 25.131
81 5.2366e+03 5.4411e+03 6.561e-05 24.931
82 5.1049e+03 6.4051e+03 6.561e-05 23.399
83 5.4518e+03 5.4906e+03 6.561e-05 22.927
84 6.7729e+03 5.5840e+03 6.561e-05 23.914
85 5.0339e+03 5.4598e+03 6.561e-05 23.671
86 6.8923e+03 6.9593e+03 6.561e-05 25.228
87 6.0270e+03 6.3894e+03 6.561e-05 25.090
88 5.6747e+03 5.9647e+03 6.561e-05 24.952
89 5.6151e+03 5.6699e+03 6.561e-05 24.170
90 5.4173e+03 5.5641e+03 6.561e-05 24.333
91 5.1242e+03 5.5137e+03 6.561e-05 25.153
92 5.5271e+03 5.5208e+03 6.561e-05 24.201
93 6.7456e+03 7.2581e+03 6.561e-05 24.153
94 5.9605e+03 5.8491e+03 6.561e-05 24.162
95 5.0848e+03 7.3294e+03 6.561e-05 24.211
96 5.7891e+03 6.6399e+03 6.561e-05 25.277
97 5.7479e+03 5.8209e+03 6.561e-05 24.948
98 6.0670e+03 5.8176e+03 6.561e-05 24.409
99 5.6620e+03 5.7546e+03 6.561e-05 25.086
100 4.9840e+03 5.4530e+03 5.905e-05 27.092
101 4.9529e+03 6.5298e+03 5.905e-05 24.796
102 5.6024e+03 5.7481e+03 5.905e-05 24.667
103 5.6222e+03 5.6329e+03 5.905e-05 24.251
104 5.0679e+03 5.5101e+03 5.905e-05 24.014
105 4.9166e+03 5.4185e+03 5.905e-05 25.184
106 4.9384e+03 5.8059e+03 5.905e-05 24.587
107 5.4075e+03 5.3969e+03 5.905e-05 24.510
108 5.4318e+03 9.6200e+03 5.905e-05 23.824
109 5.1346e+03 5.6176e+03 5.905e-05 24.151
110 4.8183e+03 5.3193e+03 5.905e-05 24.554
111 4.8180e+03 5.5060e+03 5.905e-05 24.394
112 6.4905e+03 5.4943e+03 5.905e-05 24.231
113 4.8249e+03 5.5432e+03 5.905e-05 24.352
114 4.7944e+03 5.6165e+03 5.905e-05 24.384
115 4.8113e+03 6.2625e+03 5.905e-05 24.497
116 4.9577e+03 5.5132e+03 5.905e-05 23.950
117 6.1112e+03 6.8140e+03 5.905e-05 23.691
118 5.5452e+03 5.3763e+03 5.905e-05 24.020
119 4.8547e+03 5.6086e+03 5.905e-05 23.536
120 4.8323e+03 5.4104e+03 5.314e-05 24.329
121 4.8645e+03 5.4211e+03 5.314e-05 25.417
122 4.8689e+03 5.3682e+03 5.314e-05 24.717
123 4.7303e+03 5.3777e+03 5.314e-05 24.223
124 4.7808e+03 5.2506e+03 5.314e-05 23.889
125 4.7920e+03 5.3677e+03 5.314e-05 24.808
126 4.9077e+03 5.8428e+03 5.314e-05 24.750
127 4.7476e+03 7.9694e+03 5.314e-05 23.929
128 4.7271e+03 5.2337e+03 5.314e-05 23.830
129 4.8307e+03 5.4806e+03 5.314e-05 24.269
130 4.7716e+03 5.5317e+03 5.314e-05 24.100
131 4.6900e+03 6.0846e+03 5.314e-05 23.701
132 4.9981e+03 5.4089e+03 5.314e-05 23.661
133 5.1539e+03 5.5667e+03 5.314e-05 23.436
134 5.1103e+03 5.3817e+03 5.314e-05 23.507
135 4.7166e+03 5.1863e+03 5.314e-05 24.089
136 4.6995e+03 5.3426e+03 5.314e-05 25.188
137 4.6392e+03 7.5410e+03 5.314e-05 25.109
138 4.7423e+03 5.2228e+03 5.314e-05 25.236
139 5.2121e+03 5.2247e+03 5.314e-05 25.532
140 4.6207e+03 5.3824e+03 4.783e-05 25.392
